"unitid","institution name","year","DRVF2024.Salaries and wages for instruction as a percent of total expenses for instruction (GASB)","DRVF2024.Salaries and wages for research as a percent of total expenses for research (GASB)","DRVF2024.Salaries and wages for academic support as a percent of total expenses for academic support (GASB)","DRVF2024.Salaries and wages for student services as a percent of total expenses for student services (GASB)"
"132374","Atlantic Technical College","2024","42",,"54","69"
"132408","Baptist University of Florida","2024",,,,
"132471","Barry University","2024",,,,
"132602","Bethune-Cookman University","2024",,,,
"132657","Lynn University","2024",,,,
"132675","North Florida Technical College","2024","54",,,"76"
"132693","Eastern Florida State College","2024","54",,"34","45"
"132709","Broward College","2024","54",,"54","54"
"132842","Albizu University-Miami","2024",,,,
"132851","College of Central Florida","2024","39",,"39","39"
"132879","Johnson University Florida","2024",,,,
"132903","University of Central Florida","2024","61","41","48","39"
"132976","Charlotte Technical College","2024","53",,"73","75"
"133021","Chipola College","2024","52",,"36","42"
"133155","Lorenzo Walker Technical College","2024","50",,"43","43"
"133386","Daytona State College","2024","56",,"46","41"
"133465","South University-West Palm Beach","2024",,,,
"133492","Eckerd College","2024",,,,
"133508","Florida SouthWestern State College","2024","56",,"54","46"
"133526","Edward Waters University","2024",,,,
"133553","Embry-Riddle Aeronautical University-Daytona Beach","2024",,,,
"133650","Florida Agricultural and Mechanical University","2024","61","47","56","41"
"133669","Florida Atlantic University","2024","65","51","53","49"
"133702","Florida State College at Jacksonville","2024","58",,"42","54"
"133711","Flagler College","2024",,,,
"133809","Florida College","2024",,,,
"133845","Concorde Career Institute-Jacksonville","2024",,,,
"133854","Concorde Career Institute-Miramar","2024",,,,
"133863","Concorde Career Institute-Tampa","2024",,,,
"133872","AdventHealth University","2024",,,,
"133881","Florida Institute of Technology","2024",,,,
"133951","Florida International University","2024","81","60","64","65"
"133960","The College of the Florida Keys","2024","49",,"45","48"
"133979","Florida Memorial University","2024",,,,
"133997","Florida Career College-Miami","2024",,,,
"134024","Florida School of Massage","2024",,,,
"134079","Florida Southern College","2024",,,,
"134097","Florida State University","2024","62","43","42","39"
"134130","University of Florida","2024","62","45","51","49"
"134228","Fort Pierce Beauty Academy","2024",,,,
